id,severity,status,error_type,reachability,invariant,location_screen,location_system,location_scene,location_file,location_line,summary,game_context,repro_seed,repro_step,repro_probe,occurrences,known_ref
ADV-0008,blocking,new,gate_bypass,player,INV-GATE-STANDING-SOMEWHERE-LOCKED,F5,traversal,CollectScene,phaser/src/render/TraversalRow.ts,,"standing on F5 with gate(s) G-F5-cascade still blocking it, and none of them was ever cleared this session or bypassed by this agent. The mode declares gates enforced; something let the player through.","{""day"":1,""timeBlock"":""afternoon"",""movesLeft"":3,""screen"":""F5"",""drawnScreen"":""F5"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at great trunk]"",""[Go to The Grove]"",""[Go to The Old Shrine (Forest) / Ruin]"",""[Go to The Cave]"",""[Go to Heart of the Wood]"",""[Wait]"",""[End the day]""],""required"":[""G-F5-cascade""],""cleared"":[],""everCleared"":[]}",20260826,3,explore,8,
ADV-0010,blocking,new,gate_bypass,player,INV-GATE-STANDING-SOMEWHERE-LOCKED,F7,traversal,CollectScene,phaser/src/render/TraversalRow.ts,,"standing on F7 with gate(s) G-F7-light still blocking it, and none of them was ever cleared this session or bypassed by this agent. The mode declares gates enforced; something let the player through.","{""day"":2,""timeBlock"":""afternoon"",""movesLeft"":3,""screen"":""F7"",""drawnScreen"":""F7"",""satchel"":[""item_grass""],""arms"":[],""held"":[""item_captured_sound"",""item_feather"",""item_grass""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at cave walls]"",""[Go to Old-Growth Hollow]"",""[Wait]"",""[End the day]""],""required"":[""G-F7-light""],""cleared"":[],""everCleared"":[""G-T6-evening""]}",20260826,19,explore,8,
ADV-0011,blocking,new,gate_bypass,player,INV-GATE-STANDING-SOMEWHERE-LOCKED,F8,traversal,CollectScene,phaser/src/render/TraversalRow.ts,,"standing on F8 with gate(s) G-F8-combine still blocking it, and none of them was ever cleared this session or bypassed by this agent. The mode declares gates enforced; something let the player through.","{""day"":2,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""F8"",""drawnScreen"":""F8"",""satchel"":[""item_grass"",""key_raw_ore""],""arms"":[],""held"":[""item_captured_sound"",""item_feather"",""item_grass""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":true,""choices"":[""[Look at heart tree]"",""[Go to Old-Growth Hollow]"",""[Wait]"",""[End the day]""],""required"":[""G-F8-combine""],""cleared"":[],""everCleared"":[""G-T6-evening""]}",20260826,23,explore,8,
ADV-0014,blocking,new,state_invariant_violation,player,INV-SAVE-ROUNDTRIP-STABLE,,save,CollectScene,phaser/src/world/save/SaveCoordinator.ts,,"save, reload, load returned a different world: screen HOME -> null. ""Save and restore (close, reopen, resume)"" is item one of the amended Definition of Done.","{""day"":3,""timeBlock"":""evening"",""movesLeft"":0,""screen"":null,""drawnScreen"":""HOME"",""satchel"":[""adv_item_740843""],""arms"":[],""held"":[""item_captured_sound"",""item_feather"",""item_grass""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""drift"":[""screen HOME -> null""],""before"":{""day"":3,""screen"":""HOME"",""satchel"":[""adv_item_740843""]}}",20260826,34,save,1,
ADV-0023,blocking,new,uncaught_exception,player,INV-SOAK-NO-UNCAUGHT,,flow,,phaser/src/scenes/CollectScene.ts,,after mashing [Delete h e o e s n Delete e s m l f d] the play scene is no longer running — live scenes are []. Four Escapes did not get back.,"{""day"":null,""timeBlock"":null,""movesLeft"":null,""screen"":null,""drawnScreen"":null,""satchel"":null,""arms"":null,""held"":null,""spellbook"":null,""clearedGates"":null,""refusedGates"":null,""modalOpen"":null,""choices"":[],""keys"":[""Delete"",""h"",""e"",""o"",""e"",""s"",""n"",""Delete"",""e"",""s"",""m"",""l"",""f"",""d""],""liveScenes"":[]}",20260826,40,soak,1,
ADV-0024,blocking,new,resource_duplication,model-only,INV-CAST-CONSUMED-ONCE,F1,cast,CollectScene,phaser/src/world/Inventory.ts,,"""item_sticks"" was consumed by the first cast of ""ignite"" (held 1 -> 0) and the second cast landed anyway without spending anything (still 0). One component paid for two casts.","{""day"":3,""timeBlock"":""evening"",""movesLeft"":1,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[""adv_item_740843"",""adv_item_232220"",""item_spring_water"",""item_river_stone"",""item_spring_water"",""item_dirt""],""arms"":[""item_sticks""],""held"":[""item_dirt"",""item_grass"",""item_spring_water""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-F5-cascade"",""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""spell"":""ignite"",""receiver"":""stick"",""component"":""item_sticks"",""before"":1,""afterFirst"":0,""afterSecond"":0}",20260826,50,cast,1,
ADV-0026,blocking,new,resource_duplication,model-only,INV-CAST-CONSUMED-ONCE,HOME,cast,CollectScene,phaser/src/world/Inventory.ts,,"""item_grass"" was consumed by the first cast of ""breath"" (held 1 -> 0) and the second cast landed anyway without spending anything (still 0). One component paid for two casts.","{""day"":4,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[""adv_item_589816""],""arms"":[],""held"":[""item_spring_water""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-F5-cascade"",""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""spell"":""breath"",""receiver"":""fallen_leaves"",""component"":""item_grass"",""before"":1,""afterFirst"":0,""afterSecond"":0}",20260826,58,cast,1,
ADV-0028,blocking,new,uncaught_exception,player,INV-SOAK-NO-UNCAUGHT,,flow,,phaser/src/scenes/CollectScene.ts,,after mashing [c f h n d d s Escape h l Escape d l f] the play scene is no longer running — live scenes are []. Four Escapes did not get back.,"{""day"":null,""timeBlock"":null,""movesLeft"":null,""screen"":null,""drawnScreen"":null,""satchel"":null,""arms"":null,""held"":null,""spellbook"":null,""clearedGates"":null,""refusedGates"":null,""modalOpen"":null,""choices"":[],""keys"":[""c"",""f"",""h"",""n"",""d"",""d"",""s"",""Escape"",""h"",""l"",""Escape"",""d"",""l"",""f""],""liveScenes"":[]}",20260826,66,soak,1,
ADV-0032,blocking,new,resource_duplication,model-only,INV-CAST-CONSUMED-ONCE,T7,cast,CollectScene,phaser/src/world/Inventory.ts,,"""item_beeswax"" was consumed by the first cast of ""seal"" (held 1 -> 0) and the second cast landed anyway without spending anything (still 0). One component paid for two casts.","{""day"":5,""timeBlock"":""afternoon"",""movesLeft"":2,""screen"":""T7"",""drawnScreen"":""T7"",""satchel"":[""item_grass"",""adv_item_923269"",""item_beeswax""],""arms"":[],""held"":[""item_spring_water""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-F5-cascade""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at stage]"",""[Look at lanterns]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""spell"":""seal"",""receiver"":""dog"",""component"":""item_beeswax"",""before"":1,""afterFirst"":0,""afterSecond"":0}",20260826,87,cast,1,
ADV-0038,blocking,new,resource_duplication,model-only,INV-CAST-CONSUMED-ONCE,F1,cast,CollectScene,phaser/src/world/Inventory.ts,,"""item_river_stone"" was consumed by the first cast of ""glimmer"" (held 1 -> 0) and the second cast landed anyway without spending anything (still 0). One component paid for two casts.","{""day"":3,""timeBlock"":""afternoon"",""movesLeft"":3,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[""adv_item_718158"",""item_river_stone""],""arms"":[],""held"":[""item_ash"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""spell"":""glimmer"",""receiver"":""cat"",""component"":""item_river_stone"",""before"":1,""afterFirst"":0,""afterSecond"":0}",20260826,141,cast,1,
ADV-0001,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:item_dirt","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0002,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:key_arch_filing","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0003,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:key_dawn_bundle","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0004,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:key_raw_ore","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0005,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:key_spare_apron","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0006,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:key_stone_sickle","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0007,material,new,console_error,player,INV-PAGE-CONSOLE-ERROR,F1,flow,CollectScene,http://localhost:5173/node_modules/.vite/deps/phaser.js?v=21330b76,67683,"console error: Failed to process file: %s ""%s"" image art:item:key_tonic_drop","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""lastActions"":[]}",20260826,1,,3,
ADV-0009,material,new,model_ui_disagreement,player,INV-GATE-TWO-CLEARED-SETS-AGREE,,gates,CollectScene,phaser/src/world/Gates.ts,,"cleared-gate sets disagree — engine only: [G-T6-evening], graph only: []. Two writers hold one fact, so which door is open depends on who you ask.","{""day"":1,""timeBlock"":""evening"",""movesLeft"":3,""screen"":""T1"",""drawnScreen"":""T1"",""satchel"":[""item_feather""],""arms"":[],""held"":[""item_captured_sound"",""item_feather""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at arch]"",""[Look at notice board]"",""[Go to Forager's Clearing]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Tavern / Inn]"",""[Go to Festival Grounds]"",""[Wait]"",""[End the day]""],""engineCleared"":[""G-T6-evening""],""graphCleared"":[]}",20260826,8,explore,74,
ADV-0012,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,F5,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""temper"" (temper) landed on heated_stone while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":2,""timeBlock"":""evening"",""movesLeft"":3,""screen"":""F5"",""drawnScreen"":""F5"",""satchel"":[""item_grass"",""key_raw_ore""],""arms"":[],""held"":[""item_captured_sound"",""item_feather"",""item_grass""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":true,""choices"":[""[Look at great trunk]"",""[Go to The Grove]"",""[Go to The Old Shrine (Forest) / Ruin]"",""[Go to The Cave]"",""[Go to Heart of the Wood]"",""[Wait]"",""[End the day]""],""spell"":""temper"",""receiver"":""heated_stone"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260826,26,cast,1,
ADV-0013,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,HOME,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_28778"", which no screen in the graph offers. The satchel went 0 -> 1.","{""day"":3,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[""adv_item_740843""],""arms"":[],""held"":[""item_captured_sound"",""item_feather"",""item_grass""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":true,""choices"":[""[Start the Next Day]""],""slot"":""adv_slot_28778"",""accepted"":true}",20260826,31,inventory,4,
